id,region,region_url,price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,lat,long
7048693770,14,13,4200,2006,15,2,5,2,129046,4,0,1,2,11,9,6,37.179,-113.707
7048687103,14,13,39900,2015,4,0,6,2,,0,0,0,,8,1,6,36.2783,-115.02
7048665144,14,13,18795,2015,37,,5,2,30680,0,0,1,,7,3,6,37.1756,-113.608
7048627253,14,13,13500,1977,7,2,6,2,,0,0,2,,6,,6,37.1756,-113.608
7048574960,14,13,17595,2010,12,,6,4,135536,0,0,0,,6,0,6,37.1756,-113.608
7048553084,14,13,3200,2000,37,0,,2,,0,0,,,,0,6,37.1756,-113.608
7048548019,14,13,4200,2007,12,0,,2,,0,0,,,,0,6,37.1756,-113.608
7048540554,14,13,3200,2008,24,2,,2,,0,0,,,,9,6,37.1756,-113.608
7048519392,14,13,56995,2017,39,2,,0,608498,0,0,,,,1,6,34.0794,-117.455
7048497716,14,13,22500,2016,12,3,3,2,46850,0,0,0,,8,5,6,37.1254,-113.623
7048496154,14,13,8300,2013,12,0,3,2,116500,0,0,1,2,7,1,6,37.1255,-113.624
7048268005,14,13,1700,1999,37,2,3,2,135000,0,0,1,3,7,9,6,37.1364,-113.505
7047671662,14,13,19495,2014,7,,6,2,78954,0,0,2,,12,10,6,37.1756,-113.608
7047671585,14,13,18295,2016,35,,3,2,50824,5,1,,,7,10,6,37.1756,-113.608
7047651585,14,13,22995,2018,29,3,5,2,,0,0,0,2,9,8,6,37.0831,-113.558
7047631500,14,13,12495,2015,38,,3,0,75915,0,0,1,,12,10,6,37.1756,-113.608
7048186438,14,13,36900,2013,12,0,6,0,66800,0,0,0,1,6,10,6,37.0831,-113.558
7048132108,14,13,16495,1951,7,,5,,72627,0,0,2,,12,10,6,37.1756,-113.608
7048016623,14,13,21500,2008,13,0,6,0,224878,0,0,0,1,9,0,6,37.0304,-113.613
7047935525,14,13,16900,2017,37,3,3,2,51300,0,0,1,,8,10,6,37.455,-113.268
7047895001,14,13,27400,2017,25,0,,2,12340,0,0,,,,,6,40.7548,-111.881
7047874596,14,13,12000,2012,12,0,6,2,151000,0,0,0,2,9,9,6,37.1756,-113.608
7047847830,14,13,1500,1998,,1,5,2,187000,0,0,2,1,6,10,6,37.179,-113.707
7047707148,14,13,1800,2004,29,2,,2,,0,0,0,,8,9,6,37.0979,-113.233
7047671719,14,13,10795,2014,38,,3,0,79187,0,0,1,,7,9,6,37.1756,-113.608
7047631181,14,13,16695,2008,37,,5,2,163658,0,0,0,,8,11,6,37.1756,-113.608
7047624759,14,13,9000,2007,7,2,6,2,165000,0,0,2,1,8,3,6,37.0831,-113.558
7047592053,14,13,11000,2001,18,0,,2,78000,0,0,2,0,1,,6,40.9318,-109.392
7047422037,14,13,9999,2012,38,,3,0,69502,0,1,1,,12,1,6,37.1756,-113.608
7047421920,14,13,6495,2008,19,,5,2,130535,0,0,0,,8,0,6,37.1756,-113.608
7047421752,14,13,9995,2013,38,,3,0,85111,0,0,1,,7,3,6,37.1756,-113.608
7047421551,14,13,12795,2012,38,,5,0,140776,0,0,,,8,3,6,37.1756,-113.608
7047421406,14,13,9795,2014,38,,3,0,106696,0,0,1,,12,1,6,37.1756,-113.608
7047421363,14,13,11495,2013,11,,3,2,26473,0,1,1,,12,3,6,37.1756,-113.608
7047421293,14,13,17495,2012,32,,6,2,82882,0,0,0,,6,0,6,37.1756,-113.608
7047421215,14,13,22495,2016,4,,3,2,54489,0,0,,,8,10,6,37.1756,-113.608
7047421155,14,13,9995,2012,20,,3,2,101172,0,0,1,,7,9,6,37.1756,-113.608
7047421099,14,13,4250,2004,12,,6,2,203972,0,0,0,,8,9,6,37.1756,-113.608
7047421000,14,13,16995,2015,39,,3,2,69699,0,0,1,,8,3,6,37.1756,-113.608
7047420796,14,13,7995,2004,19,,5,2,132920,0,1,0,,8,8,6,37.1756,-113.608
7047420689,14,13,29795,2016,37,,5,2,57645,0,0,0,,8,8,6,37.1756,-113.608
7047420632,14,13,22795,2015,37,,5,2,54322,0,0,,,8,1,6,37.1756,-113.608
7047420562,14,13,20495,2018,15,,3,2,17082,0,0,1,,12,5,6,37.1756,-113.608
7047420503,14,13,27795,2015,25,,5,2,63380,0,0,,,8,10,6,37.1756,-113.608
7047420416,14,13,6495,2013,16,,3,2,111060,0,0,1,,7,1,6,37.1756,-113.608
7047420367,14,13,12795,2014,12,,3,2,66747,0,0,1,,7,,6,37.1756,-113.608
7047420303,14,13,10795,2012,3,,3,2,96293,0,0,1,,7,9,6,37.1756,-113.608
7047420236,14,13,36495,2015,13,,6,2,88244,0,0,,,8,3,6,37.1756,-113.608
7047420152,14,13,24595,2008,32,,5,0,139400,0,0,,,6,10,6,37.1756,-113.608
7047420092,14,13,15495,2015,12,,3,2,27730,0,1,1,,12,8,6,37.1756,-113.608
7047420048,14,13,17495,2015,15,,5,2,62751,0,0,1,,12,9,6,37.1756,-113.608
7047419995,14,13,14495,2012,19,,5,4,103117,0,0,0,,8,3,6,37.1756,-113.608
7047419930,14,13,18795,2014,13,,5,2,85961,0,0,,,8,10,6,37.1756,-113.608
7047419868,14,13,9995,2012,19,,5,2,106169,0,0,0,,8,9,6,37.1756,-113.608
7047419770,14,13,8995,2012,37,,3,3,166594,0,0,1,,11,9,6,37.1756,-113.608
7047419694,14,13,12145,2017,29,,3,2,30853,0,0,1,,7,9,6,37.1756,-113.608
7047419622,14,13,7995,2009,35,,3,2,134561,0,0,,,11,10,6,37.1756,-113.608
7047419557,14,13,36455,2019,37,,5,2,13624,0,0,0,,8,3,6,37.1756,-113.608
7047419466,14,13,32475,2015,37,,6,4,61774,0,0,0,,6,8,6,37.1756,-113.608
7047419406,14,13,36795,2019,37,,5,2,12621,0,0,,,8,9,6,37.1756,-113.608
7047419344,14,13,10595,2016,16,,3,2,59645,0,0,1,,7,10,6,37.1756,-113.608
7047419289,14,13,10295,2013,37,,3,3,154852,0,0,1,,7,10,6,37.1756,-113.608
7047419240,14,13,23995,2015,19,,5,2,64438,0,0,0,,8,9,6,37.1756,-113.608
7047419172,14,13,13795,2017,29,,3,2,64377,0,0,1,,7,9,6,37.1756,-113.608
7047419121,14,13,20945,2017,29,,5,2,31034,0,0,1,,7,9,6,37.1756,-113.608
7047419043,14,13,22795,2016,22,,3,2,27737,0,0,2,,7,9,6,37.1756,-113.608
